https://live-durhamnc.opendata.arcgis.com/datasets/supermarkets-warehouse-clubs-and-supercenters-1/data,,Open Data: City and County of Durham NC,,"Supermarkets, warehouse clubs and supercenters",,Source date:  November 2020,,,,,,,,,,,,,,,,,,,
X,Y,OBJECTID,facilityid,facilityarea,name,factype,fulladdr,municipality,agency,agencytype,agencyurl,pocname,pocphone,pocemail,phone,operdays,operhours,adultmeals,readytoeatmeals,comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-78.894165,35.858643,160,81336,0,SHEETZ,Grocery Store,4010 CONVENIENT LN,CARY,,,SHEETZ.COM,,9193167779,,9193167779,,,,,CONVENIENCE STORES,{7C568795-0860-4366-B51F-9E2460BCC79F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-79.010422,35.906368,184,78753,0,HARRIS TEETER #120,Grocery Store,"116 W BARBEE CHAPEL RD, CHAPEL HILL, NC 27517",CHAPEL HILL,,,https://www.harristeeter.com/,,9199325020,,9199325020,7 days/week,6am - 11pm,,,Senior and vulnerable population hours Mon. and Thurs. 6am-8pm; Pick-up and limited delivery available,{0845E427-BAA8-4FB7-9F6B-4042EA1C08BE},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.902424,35.901957,377,106134,0,STAR MINI MART,Grocery Store,1708 E NC HIGHWAY 54,DURHAM,,,,,9193619119,,9193619119,,,,,CONVENIENCE STORES,{849F5ECB-1037-44DE-AEE1-A0861F308AB4},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.902504,35.982906,403,102596,0,SOUTHSIDE TOBACCO AND GROCERY,Grocery Store,1111 S ROXBORO ST,DURHAM,,,,,9190001111,,,7 days/wk,24 hrs,,,CONVENIENCE STORE,{B151754F-DE87-4091-A14A-D37E299E0828},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.899459,35.981471,404,102832,0,USA MINI MART,Grocery Store,1224 FAYETTEVILLE ST,DURHAM,,,,,9190001111,,,,,,,Convenience Store,{85A1260F-AB12-479E-92B4-B39728D9EB9F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.919061,35.965839,547,30697,0,VARIETY MINI MART,Grocery Store,2534 S ROXBORO ST #B,DURHAM,,,,,9190001111,,,,,,,Convenience Store,{9A1CFC6D-3544-4AC7-831D-A033F9AA1158},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.94686,36.0202,657,147111,0,LAGOS MEAT MARKET LLC,Grocery Store,3438 HILLSBOROUGH RD # C,DURHAM,,,,,9190001111,,919-383-5436,Sunday-Saturday,9am-8pm,,,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,{EF55F51A-FADC-4CA0-A0C7-DA2DC00D9848},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.928316,36.010786,694,9439,0,TRIANGLE MINI MART,Grocery Store,2508 HILLSBOROUGH RD,DURHAM,,,,,9190001111,,,7 days/week,Mon-Sat 7am-12:30am; Sun 8am-12:30am,,,Convenience Store,{BF853639-ED4E-4471-931C-A2949F2E0440},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.9166,35.99643,697,10818,0,DURHAM CO-OP MARKET,Grocery Store,1111 W CHAPEL HILL ST,DURHAM,,,http://durham.coop/,,9190001111,,9199731707,7 days/week,11am-7pm,,,"Senior and high-risk hours Tues, Fri and Sun 10-11am",{1129519C-C9D7-4F4E-9DFF-BDC7BA324E51},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
-78.91571,35.99713,698,99501,0,Al-TAIBA MARKET,Grocery Store,1008 W CHAPEL HILL ST,DURHAM,,,,,,,9842197120,7 days/week,9am-9pm,,,,{8844988F-ECFB-4BB0-A3C5-27F28EF7F5F6},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
